[]
200B	ZERO WIDTH SPACE
200C	ZERO WIDTH NON-JOINER
200D	ZERO WIDTH JOINER
22BB	XOR
22FF	Z NOTATION BAG MEMBERSHIP
2327	X IN A RECTANGLE BOX
2643	JUPITER
26B5	JUNO
26FB	JAPANESE BANK SYMBOL
2981	Z NOTATION SPOT
2982	Z NOTATION TYPE COLON
2987	Z NOTATION LEFT IMAGE BRACKET
2988	Z NOTATION RIGHT IMAGE BRACKET
2989	Z NOTATION LEFT BINDING BRACKET
298A	Z NOTATION RIGHT BINDING BRACKET
2A1D	JOIN
2A1F	Z NOTATION SCHEMA COMPOSITION
2A20	Z NOTATION SCHEMA PIPING
2A21	Z NOTATION SCHEMA PROJECTION
2A3E	Z NOTATION RELATIONAL COMPOSITION
2A64	Z NOTATION DOMAIN ANTIRESTRICTION
2A65	Z NOTATION RANGE ANTIRESTRICTION
2BE2	ZEUS
3004	JAPANESE INDUSTRIAL STANDARD SYMBOL
A980	JAVANESE SIGN PANYANGGA
A981	JAVANESE SIGN CECAK
A982	JAVANESE SIGN LAYAR
A983	JAVANESE SIGN WIGNYAN
A984	JAVANESE LETTER A
A985	JAVANESE LETTER I KAWI
A986	JAVANESE LETTER I
A987	JAVANESE LETTER II
A988	JAVANESE LETTER U
A989	JAVANESE LETTER PA CEREK
A98A	JAVANESE LETTER NGA LELET
A98B	JAVANESE LETTER NGA LELET RASWADI
A98C	JAVANESE LETTER E
A98D	JAVANESE LETTER AI
A98E	JAVANESE LETTER O
A98F	JAVANESE LETTER KA
A990	JAVANESE LETTER KA SASAK
A991	JAVANESE LETTER KA MURDA
A992	JAVANESE LETTER GA
A993	JAVANESE LETTER GA MURDA
A994	JAVANESE LETTER NGA
A995	JAVANESE LETTER CA
A996	JAVANESE LETTER CA MURDA
A997	JAVANESE LETTER JA
A998	JAVANESE LETTER NYA MURDA
A999	JAVANESE LETTER JA MAHAPRANA
A99A	JAVANESE LETTER NYA
A99B	JAVANESE LETTER TTA
A99C	JAVANESE LETTER TTA MAHAPRANA
A99D	JAVANESE LETTER DDA
A99E	JAVANESE LETTER DDA MAHAPRANA
A99F	JAVANESE LETTER NA MURDA
A9A0	JAVANESE LETTER TA
A9A1	JAVANESE LETTER TA MURDA
A9A2	JAVANESE LETTER DA
A9A3	JAVANESE LETTER DA MAHAPRANA
A9A4	JAVANESE LETTER NA
A9A5	JAVANESE LETTER PA
A9A6	JAVANESE LETTER PA MURDA
A9A7	JAVANESE LETTER BA
A9A8	JAVANESE LETTER BA MURDA
A9A9	JAVANESE LETTER MA
A9AA	JAVANESE LETTER YA
A9AB	JAVANESE LETTER RA
